,subject,subsample,chao2,species,shannon,num_h3,ratio,key
0,Human 1,0.1,36770.24336406818,Human,8.226055582522003,3751,0.09938366718027734,cdr3_aa
1,Human 1,0.2,36230.64980581604,Human,8.913602113030795,7459,0.1981031826151639,cdr3_aa
2,Human 1,0.3,36010.41421026775,Human,9.311542125315384,11129,0.29568035704797835,cdr3_aa
3,Human 1,0.4,35911.00449775113,Human,9.59327823318657,14770,0.3919557940598268,cdr3_aa
4,Human 1,0.5,35883.19986936643,Human,9.809474136144653,18376,0.48788587216407203,cdr3_aa
5,Human 1,0.6,35889.6757493188,Human,9.985058984643691,21934,0.5838956484777642,cdr3_aa
6,Human 1,0.7,35886.30487804878,Human,10.133405957341374,25477,0.677115987460815,cdr3_aa
7,Human 1,0.8,35886.0,Human,10.260204688357277,29001,0.7699909675362627,cdr3_aa
8,Human 1,0.9,35886.0,Human,10.371828729163132,32460,0.8619095690983476,cdr3_aa
9,Human 1,1.0,35886.0,Human,10.470547585576666,35886,0.9533499814037512,cdr3_aa
10,Human 10,0.1,30850.52951124641,Human,8.047312233303263,3126,0.09929190613787191,cdr3_aa
11,Human 10,0.2,29939.123466697238,Human,8.731057522115538,6216,0.19750420728415838,cdr3_aa
12,Human 10,0.3,29760.927718130955,Human,9.129684881728442,9281,0.2943193725589814,cdr3_aa
13,Human 10,0.4,29720.363715529755,Human,9.408871808983495,12283,0.3900231797542311,cdr3_aa
14,Human 10,0.5,29719.067544604928,Human,9.624042369251951,15271,0.4851236782777125,cdr3_aa
15,Human 10,0.6,29707.52657807309,Human,9.797843630732283,18244,0.579208077985584,cdr3_aa
16,Human 10,0.7,29706.09574468085,Human,9.944644550181092,21154,0.6715460578541264,cdr3_aa
17,Human 10,0.8,29706.25,Human,10.0702855603599,24055,0.76429682786651,cdr3_aa
18,Human 10,0.9,29706.0,Human,10.18042707607872,26890,0.8537770298161497,cdr3_aa
19,Human 10,1.0,29706.0,Human,10.277767650238292,29706,0.9432572317657892,cdr3_aa
20,Human 2,0.1,46552.70501062521,Human,8.45649096420988,4726,0.0994921076478894,cdr3_aa
21,Human 2,0.2,45509.02867059001,Human,9.143159376590791,9393,0.19786727360856463,cdr3_aa
22,Human 2,0.3,45062.775927027564,Human,9.541515092456708,14012,0.29449326673831955,cdr3_aa
23,Human 2,0.4,45003.89162182936,Human,9.821682605268583,18586,0.39130892921118626,cdr3_aa
24,Human 2,0.5,44962.704130901286,Human,10.03738821287812,23110,0.48698657562538195,cdr3_aa
25,Human 2,0.6,44975.09534368071,Human,10.212550758718894,27607,0.579671661292702,cdr3_aa
26,Human 2,0.7,44970.44545454546,Human,10.359580472921559,31984,0.6742745147625973,cdr3_aa
27,Human 2,0.8,44970.0,Human,10.485563731915478,36348,0.7667067079724347,cdr3_aa
28,Human 2,0.9,44970.0,Human,10.59649834565894,40670,0.8574740258371794,cdr3_aa
29,Human 2,1.0,44970.0,Human,10.694382030608137,44970,0.9477144844155023,cdr3_aa
30,Human 3,0.1,45028.787527839646,Human,8.470401907971809,4784,0.09922763133373366,cdr3_aa
31,Human 3,0.2,44493.665768621235,Human,9.150312663256445,9477,0.1966537593440043,cdr3_aa
