,subject,type,neighbour,shared,key
0,Human 1,Human/Human,Human 2,0.041799030262497906,cdr3_aa
1,Human 1,Human/Human,Human 3,0.03622582622749819,cdr3_aa
2,Human 1,Human/Human,Human 4,0.05040068544932211,cdr3_aa
3,Human 1,Human/Human,Human 5,0.04594683295044306,cdr3_aa
4,Human 1,Human/Human,Human 6,0.0723219603505488,cdr3_aa
5,Human 1,Human/Human,Human 7,0.03254149040026033,cdr3_aa
6,Human 1,Human/Human,Human 8,0.04767353165522502,cdr3_aa
7,Human 1,Human/Human,Human 9,0.021139733639356145,cdr3_aa
8,Human 1,Human/Human,Human 10,0.07742543593886757,cdr3_aa
9,Human 1,Human/Mouse,Mouse 1,0.05015883631499749,cdr3_aa
10,Human 1,Human/Mouse,Mouse 2,0.02786602017499861,cdr3_aa
11,Human 1,Human/Mouse,Mouse 3,0.044585632279997775,cdr3_aa
12,Human 1,Human/Mouse,Mouse 4,0.028231042854723054,cdr3_aa
13,Human 1,Human/Mouse,Mouse 5,0.025079418157498746,cdr3_aa
14,Human 1,Human/Kymouse,Kymouse 1,0.16271056661562022,cdr3_aa
15,Human 1,Human/Kymouse,Kymouse 2,0.16998272306749151,cdr3_aa
16,Human 1,Human/Kymouse,Kymouse 3,0.33160564008248344,cdr3_aa
17,Human 1,Human/Kymouse,Kymouse 4,0.1755559271024912,cdr3_aa
18,Human 1,Human/Kymouse,Kymouse 5,0.14725130890052357,cdr3_aa
19,Human 1,Human/Kymouse,Kymouse 6,0.2675137936799866,cdr3_aa
20,Human 1,Human/Kymouse,Kymouse 7,0.1783425291199911,cdr3_aa
21,Human 2,Human/Human,Human 3,0.0703841612932522,cdr3_aa
22,Human 2,Human/Human,Human 4,0.08064109671891538,cdr3_aa
23,Human 2,Human/Human,Human 5,0.07876599934361667,cdr3_aa
24,Human 2,Human/Human,Human 6,0.09784735812133072,cdr3_aa
25,Human 2,Human/Human,Human 7,0.057851538489351706,cdr3_aa
26,Human 2,Human/Human,Human 8,0.07627765064836003,cdr3_aa
27,Human 2,Human/Human,Human 9,0.10267870624830126,cdr3_aa
28,Human 2,Human/Human,Human 10,0.04039587962027873,cdr3_aa
29,Human 2,Human/Mouse,Mouse 1,0.0756059595285746,cdr3_aa
30,Human 2,Human/Mouse,Mouse 2,0.04380540094825809,cdr3_aa
31,Human 2,Human/Mouse,Mouse 3,0.0533689126084056,cdr3_aa
32,Human 2,Human/Mouse,Mouse 4,0.0508158771385015,cdr3_aa
33,Human 2,Human/Mouse,Mouse 5,0.033355570380253496,cdr3_aa
34,Human 2,Human/Kymouse,Kymouse 1,0.22970903522205208,cdr3_aa
35,Human 2,Human/Kymouse,Kymouse 2,0.2468312208138759,cdr3_aa
36,Human 2,Human/Kymouse,Kymouse 3,0.42472759617522793,cdr3_aa
37,Human 2,Human/Kymouse,Kymouse 4,0.2690682677340449,cdr3_aa
