,IGHD3-22,IGHD6-19,IGHD6-13,IGHD3-10,IGHD3-3,IGHD1-26,IGHD5-18,IGHD5-5,IGHD2-15,IGHD2-2,IGHD4-17,IGHD6-6,IGHD3-16,IGHD5-24,IGHD3-9,IGHD2-21,IGHD5-12,IGHD4-23,IGHD2-8,IGHD4-11,IGHD4-4,IGHD1-7,IGHD7-27,IGHD1-1,IGHD1-20,IGHD1-14,IGHD6-25,IGHD2/OR15-2a,IGHD2/OR15-2b,IGHD1/OR15-1a,IGHD3/OR15-3a,IGHD3/OR15-3b,IGHD4/OR15-4a,IGHD4/OR15-4b,IGHD5/OR15-5a,IGHD5/OR15-5b,IGHD1/OR15-1b
Human 1,0.11713786003675086,0.0815160840399389,0.06807766388452258,0.07215125417875091,0.06287498062830703,0.053111647368770616,0.04598286435387102,0.04496446678031393,0.04983506387123912,0.044986605857999955,0.04759901702495074,0.03037481458522438,0.03644092187119485,0.024198011910823797,0.02280325001660431,0.025880581814961588,0.023511700502557062,0.023268170648010802,0.014611791272775575,0.010095419424826762,0.008811352919037393,0.013460559233102349,0.005734021120680112,0.012154353649626956,0.011645154862848414,0.00743873010250393,0.007992207044654519,0.005933272819854325,0.005047709712413381,0.0033430007305895637,0.00473776262480905,0.0028559410214970445,0.0030773317983572804,0.0025238548562066905,0.002723106555380903,0.0017932652925679116,0.0013062055834753925
Human 10,0.07669066260312123,0.0732489096736903,0.07303872628868688,0.05780043087593926,0.10425095896169408,0.047895538857653304,0.0457411591613683,0.04511060900635805,0.0369660028374757,0.07196153644054437,0.047606536703273604,0.04532079239136146,0.028427302821711943,0.019704692344070202,0.01936314434343965,0.019914875729073616,0.02246334927224003,0.021885344963480637,0.013005096947086334,0.01731385633965635,0.015711208029005306,0.018653775419053123,0.0057800430875939255,0.012243182176448951,0.012164363407072672,0.007540328936997531,0.007829331091377227,0.005254584625085387,0.004492669854448006,0.0037570280069360515,0.004650307393200568,0.002863748620671536,0.0025222006200409856,0.0020492880037833007,0.0030213861594240977,0.0021281067731595818,0.00162892123377647
Human 2,0.10020185565549967,0.0833628443940789,0.08090162192789857,0.08658545222749486,0.04842765068347617,0.056802889723068205,0.04240739429138041,0.04162830228769743,0.04554146894255967,0.06565620794673843,0.053775054890572986,0.017051490898788865,0.03543097953112827,0.02254054819746441,0.03065018769034634,0.02528507684680218,0.029924215596005384,0.02454139811601388,0.009207450952617042,0.008268999220907996,0.006923294850910121,0.00991571641051066,0.005489057298675544,0.011597846873008003,0.01074792832353566,0.007419080671435654,0.006817055032226078,0.005843190027622353,0.00497556484170267,0.0025851689213117076,0.004727671931439904,0.002974714923153198,0.0028861817409164955,0.002408102556838303,0.0032403144698633047,0.0018946100998654296,0.0013634110064452156
Human 3,0.11841742011180896,0.06998412588860514,0.06472151287183381,0.06839671474912003,0.070519014424736,0.05586997032231348,0.037787286907308995,0.036786527710677065,0.043636551866933534,0.07160604596590517,0.04858858444337083,0.031661950445165295,0.033697977776244045,0.023621367934294982,0.023949202843536476,0.0241044930637035,0.019497549865415142,0.02548485057629926,0.0142349368486438,0.012785561460418248,0.011249913727655462,0.01563254883014701,0.005573193457105391,0.010732279660432052,0.011715784388156533,0.008126854855407551,0.008506453171371385,0.004969287045344745,0.004382635102491545,0.0037097108151011114,0.005055559389881979,0.0033473669680447234,0.0028814963075436536,0.002312098833597902,0.003002277589895783,0.001967009455448961,0.0014838843260404444
Human 4,0.05710278501302344,0.06844319775596074,0.09284712482468443,0.029533159687437388,0.08178721699058306,0.054337808054498095,0.013263874974954919,0.011981566820276499,0.0670807453416149,0.04560208375075135,0.07489481065918653,0.05133239831697055,0.03153676617912242,0.015347625726307353,0.030815467842115807,0.0303346022841114,0.043478260869565216,0.03101582849128431,0.018312963334001203,0.017511520737327188,0.016028851933480266,0.02003606491685033,0.008896012823081547,0.013143658585453816,0.014025245441795231,0.009857743939090363,0.009216589861751152,0.006692045682228011,0.005730314566219194,0.004728511320376678,0.006371468643558405,0.004407934281707073,0.0030855539971949507,0.002484472049689441,0.003967140853536366,0.0029252654778601484,0.0018433179723502304
Human 5,0.0829091095136988,0.06799519070885882,0.0819881814228339,0.0763858688700724,0.08183469340768974,0.05438592003274411,0.03711851832902714,0.035839451536159216,0.03934409454861733,0.0643114783453992,0.04021385996776752,0.04195339080606789,0.035072011460438465,0.018520887160727532,0.023995293034202246,0.024532501087206775,0.022562738226190173,0.022204599524187154,0.013839502698830932,0.011997646517101123,0.010437185029802256,0.018827863191015835,0.008134864802639993,0.014146478729119234,0.014402292087692819,0.009081374229362258,0.010999974418664142,0.005806963239620373,0.004962779156327543,0.0048092911411833925,0.005602312552761505,0.003581387020030186,0.0025069709140211303,0.0019186001893018853,0.003581387020030186,0.002430226906449055,0.0017651121741577346
Human 6,0.13561456911934502,0.08120779538854483,0.06598789405549141,0.09929673559357616,0.04901857877611,0.05262237150554564,0.03803225919317029,0.03705258738322662,0.036737692872887584,0.06675763619187572,0.05129281690633638,0.013085616318533291,0.03785731779853749,0.02547146705853539,0.03208425177565515,0.02638116231062594,0.02351212343864805,0.024281865575032365,0.009376858752317974,0.007837374479549351,0.0067527378328260034,0.007452503411357195,0.006402855043560407,0.011161260977572513,0.009761729820510129,0.00706763234316504,0.006857702669605682,0.006297890206780728,0.005388194954690179,0.0017844022252545397,0.004583464539379308,0.002834050593051328,0.0024841678037857318,0.002099296735593576,0.0027640740351982085,0.0019593436198873378,0.0008397186942374305
Human 7,0.11169595608002943,0.07649206214449444,0.05526784956278122,0.06627614115516314,0.07366216713359934,0.05775815717236891,0.043750176868438184,0.0428729094150607,0.0414862608597221,0.08317061437020687,0.04858929733706879,0.025270962447293207,0.03192121572289668,0.025157766646857403,0.020912924130514758,0.023573025440756148,0.019950759826810424,0.022950448538359227,0.013413702351642754,0.01383818660327702,0.012734527549027931,0.013413702351642754,0.00650875852505872,0.011121487392817726,0.010838497891728216,0.007555819679089906,0.007159634377564592,0.005518295271245437,0.004584429917650055,0.0034807708634009677,0.0049240173189574665,0.0030845855618756544,0.002716699210459292,0.002037524407844469,0.0029713897614398505,0.001952627557517616,0.001386648555338597
Human 8,0.10009933521815542,0.07266753266600443,0.05343725325386516,0.07208170958457502,0.07218359185960622,0.06207177606275948,0.04080385114999618,0.039810498968441965,0.046891317083110465,0.07602964774203408,0.046763964239321464,0.02893456610886121,0.03586256081098291,0.025241333638980158,0.022821629606989125,0.025623392170347165,0.02195563026922391,0.02455362828251955,0.013575813147907593,0.012302284710017574,0.010952344565854156,0.013015460635235985,0.006749700720817096,0.012964519497720385,0.011461755941010163,0.008965640202745727,0.007564758921066708,0.005476172282927078,0.004788466926466468,0.003234762232240646,0.005094113751560072,0.0035149384885764497,0.0030564682509360433,0.002547056875780036,0.0029291154071470417,0.0022414100506864317,0.0017319986755304246
Human 9,0.047809714476381146,0.07407407407407407,0.0694980694980695,0.05138471805138472,0.09869393202726535,0.03048286381619715,0.030935697602364268,0.02991086324419658,0.07154773821440488,0.07483674150340817,0.06954573621240288,0.045545545545545546,0.03215119881786548,0.012917679584346252,0.033605033605033606,0.019734019734019732,0.031340864674198006,0.020234520234520235,0.017779684446351113,0.01808951808951809,0.016445016445016444,0.017851184517851185,0.006006006006006006,0.013227513227513227,0.012345679012345678,0.007483674150340817,0.009676343009676344,0.006006006006006006,0.005314838648171982,0.003980170646837314,0.00572000572000572,0.004051670718337385,0.0025978359311692647,0.002002002002002002,0.003384336717670051,0.0021688355021688356,0.001620668287334954
